merchant_id,merchant_name,merchant_category,online_offline,merchant_country
100,Blogpad,Education,Online,Ethiopia
101,Skyble,Utilities,Offline,Russia
102,Devbug,Travel,Online,China
103,Cogibox,Fitness,Online,Croatia
104,Livetube,Clothing,Online,France
105,Twimm,Restaurants,Offline,Philippines
106,Browsedrive,Fuel,Online,Sweden
107,Mita,Transport,Offline,China
108,Lazz,Rent,Online,Indonesia
109,Oodoo,Fuel,Offline,Czech Republic
110,Ntags,Utilities,Offline,China
111,Gigashots,Education,Offline,Portugal
112,Plambee,Travel,Online,South Africa
113,Flashspan,Education,Offline,Russia
114,Riffpedia,Groceries,Offline,South Korea
115,Buzzdog,Fitness,Offline,China
116,Tagcat,Healthcare,Online,Iran
117,Aimbo,Travel,Offline,Poland
118,Meevee,Insurance,Offline,Indonesia
119,Jetpulse,Utilities,Online,Sweden
120,Miboo,Groceries,Offline,Bulgaria
121,Devshare,Fuel,Offline,Brazil
122,Meevee,Groceries,Offline,Poland
123,Voonyx,Streaming,Online,China
124,Kwinu,Rent,Online,Slovenia
125,Yozio,Healthcare,Online,Panama
126,Dynabox,Utilities,Offline,Malawi
127,Quimba,Utilities,Online,Iraq
128,Camido,Education,Online,Peru
129,Feedspan,Fuel,Online,Macedonia
130,Tagopia,Travel,Offline,Philippines
131,Livetube,Streaming,Online,Argentina
132,Lajo,Groceries,Online,United States
133,Tazzy,Groceries,Offline,Japan
134,Trudoo,Healthcare,Online,China
135,Meeveo,Fuel,Offline,China
136,Chatterbridge,Fitness,Online,China
137,Agimba,Streaming,Online,United States
138,Trudoo,Transport,Offline,Indonesia
139,Aimbu,Fitness,Offline,Ireland
140,Kwinu,Utilities,Offline,China
141,Gigashots,Clothing,Online,Indonesia
142,Rhyzio,Transport,Offline,Mali
143,Avaveo,Fuel,Online,Trinidad and Tobago
144,Vimbo,Utilities,Online,Indonesia
145,Divanoodle,Insurance,Offline,Ukraine
146,Demivee,Rent,Online,Bhutan
147,Wikizz,Travel,Offline,Botswana
148,Browsedrive,Groceries,Online,Brazil
149,Dabfeed,Transport,Offline,China
150,Zoomzone,Fitness,Online,China
151,Babblestorm,Healthcare,Online,China
152,Topicstorm,Clothing,Offline,Poland
153,Meembee,Clothing,Online,Mexico
154,Fiveclub,Utilities,Online,Colombia
155,Lazz,Utilities,Offline,China
156,Photolist,Education,Online,China
157,Jayo,Education,Offline,San Marino
158,Rhyzio,Education,Online,China
159,Livefish,Groceries,Offline,France
160,Avaveo,Insurance,Online,Brazil
161,Dynazzy,Streaming,Offline,Canada
162,Skinix,Clothing,Offline,Spain
163,Leenti,Utilities,Offline,Norway
164,Youtags,Education,Offline,Ukraine
165,Zoozzy,Restaurants,Online,Philippines
166,Skidoo,Streaming,Offline,China
167,Bluezoom,Insurance,Online,Japan
168,Innojam,Clothing,Online,China
169,Mudo,Education,Online,China
170,Brainsphere,Streaming,Online,Myanmar
171,Latz,Fitness,Online,Thailand
172,Quimm,Utilities,Offline,Czech Republic
173,Flashdog,Groceries,Offline,Ukraine
174,Zoombox,Healthcare,Online,Sweden
175,Skajo,Education,Offline,Indonesia
176,Lajo,Fuel,Offline,Nigeria
177,Meembee,Transport,Online,Iran
178,Tagtune,Rent,Online,Ireland
179,Photolist,Transport,Online,Brazil
180,Dynabox,Travel,Online,Japan
181,Blognation,Travel,Offline,China
182,Mymm,Insurance,Online,Philippines
183,Tagchat,Clothing,Offline,Brazil
184,Meeveo,Streaming,Online,Czech Republic
185,Zazio,Healthcare,Offline,Cameroon
186,Buzzster,Clothing,Offline,Indonesia
187,Mynte,Groceries,Online,Ukraine
188,Yodel,Streaming,Online,Tanzania
189,Tambee,Travel,Offline,Croatia
190,Yozio,Rent,Offline,Vietnam
191,Dynava,Utilities,Online,Jamaica
192,Trilia,Insurance,Online,Malta
193,Roodel,Fuel,Offline,Indonesia
194,Ailane,Healthcare,Online,Poland
195,Skivee,Fuel,Offline,Portugal
196,Abata,Rent,Online,Indonesia
197,Yodel,Insurance,Online,Portugal
198,Browsecat,Fitness,Online,China
199,Twinte,Healthcare,Offline,China
200,Skaboo,Education,Offline,China
201,Omba,Clothing,Offline,Japan
202,Plambee,Fuel,Online,Indonesia
203,Aimbo,Clothing,Offline,China
204,Wikizz,Streaming,Online,China
205,Skyba,Streaming,Online,United Kingdom
206,Podcat,Groceries,Offline,Sweden
207,Chatterpoint,Utilities,Online,Philippines
208,Chatterbridge,Utilities,Online,Jordan
209,Kayveo,Fuel,Offline,China
210,Midel,Fitness,Online,China
211,Yadel,Healthcare,Offline,Philippines
212,Skyvu,Streaming,Offline,Vietnam
213,Mybuzz,Clothing,Offline,China
214,Twinder,Clothing,Online,Afghanistan
215,Zoomzone,Clothing,Online,France
216,InnoZ,Restaurants,Online,Nigeria
217,Babbleset,Streaming,Online,Mauritius
218,Skidoo,Travel,Online,Nigeria
219,Ntags,Groceries,Offline,Russia
220,Ntag,Groceries,Offline,Colombia
221,Blogpad,Streaming,Offline,Indonesia
222,Fivespan,Insurance,Offline,China
223,Youfeed,Restaurants,Online,Indonesia
224,Rhycero,Fuel,Offline,China
225,Tagfeed,Transport,Online,Indonesia
226,Feedmix,Groceries,Online,Norway
227,Dynazzy,Clothing,Online,Brazil
228,Blogspan,Insurance,Online,Brazil
229,Realmix,Fuel,Offline,Colombia
230,Zoozzy,Fitness,Offline,Germany
231,Avaveo,Groceries,Offline,Kenya
232,Twitternation,Transport,Offline,Indonesia
233,Dabtype,Insurance,Offline,Syria
234,Wikibox,Utilities,Online,United States
235,Babbleopia,Fuel,Offline,Cuba
236,Vidoo,Fuel,Online,Morocco
237,Camido,Restaurants,Offline,China
238,Agimba,Healthcare,Offline,Russia
239,Zoomcast,Healthcare,Offline,Brazil
240,Tagcat,Education,Online,China
241,Tagpad,Fitness,Online,Indonesia
242,Trilia,Restaurants,Online,Indonesia
243,Mita,Restaurants,Online,China
244,Edgepulse,Fitness,Online,Norway
245,Quatz,Groceries,Online,China
246,Yacero,Travel,Online,China
247,Fatz,Groceries,Online,Seychelles
248,Quinu,Fitness,Offline,Philippines
249,Tazz,Clothing,Offline,Brazil
250,Twitterwire,Rent,Online,Botswana
