transaction_id,account_id,merchant_id,transaction_date,amount,payment_method,is_recurring
46,221,85,2024-01-19,334.41,Mobile Payment,1
47,251,146,2025-04-13,175.09,Credit Card,0
48,256,196,2024-07-10,174.93,Mobile Payment,1
49,189,180,2025-05-05,285.67,Debit Card,1
50,189,177,2025-12-04,99.12,Debit Card,0
51,159,147,2025-09-28,326.75,Bank Transfer,1
52,75,237,2024-06-03,106.09,Mobile Payment,1
53,39,24,2024-02-16,325.67,Debit Card,0
54,127,44,2024-04-03,142.62,Debit Card,1
55,49,140,2025-11-30,37.36,Debit Card,1
56,134,201,2024-08-07,99.94,Credit Card,1
57,238,128,2024-12-15,94.98,Credit Card,0
58,266,81,2024-12-24,238.55,Direct Debit,1
59,296,75,2024-11-02,95.5,Debit Card,0
60,238,16,2024-01-31,70.33,Mobile Payment,1
61,81,60,2024-03-04,338.31,Credit Card,1
62,62,18,2024-09-25,97.71,Mobile Payment,0
63,174,104,2025-03-13,38.54,Credit Card,1
64,194,235,2025-07-29,45.43,Mobile Payment,1
65,168,139,2025-09-18,334.3,Mobile Payment,0
66,141,108,2025-11-15,311.66,Debit Card,1
67,236,201,2025-10-25,196.96,Direct Debit,0
68,209,65,2024-10-13,206.21,Mobile Payment,1
69,276,190,2025-02-15,133.69,Mobile Payment,1
70,233,96,2025-04-09,16.76,Bank Transfer,1
71,145,112,2025-08-04,315.96,Direct Debit,0
72,49,143,2024-11-14,80.46,Credit Card,0
73,194,101,2025-04-17,20.85,Debit Card,0
74,55,77,2024-03-06,9.22,Mobile Payment,1
75,126,38,2024-02-24,228.57,Direct Debit,1
76,47,222,2024-12-14,101.82,Direct Debit,0
77,101,117,2025-08-11,208.68,Credit Card,0
78,98,164,2024-02-26,261.75,Mobile Payment,1
79,92,211,2024-08-25,198.48,Debit Card,1
80,1,83,2024-09-20,21.8,Mobile Payment,0
81,207,204,2024-11-06,315.34,Debit Card,0
82,258,176,2025-04-13,278.31,Credit Card,1
83,187,57,2025-09-23,15.81,Bank Transfer,0
84,23,46,2025-01-15,168.09,Bank Transfer,1
85,30,46,2024-04-04,259.68,Credit Card,0
86,170,216,2025-01-31,261.84,Direct Debit,0
87,47,191,2025-04-24,261.51,Mobile Payment,1
88,63,102,2025-09-19,34.7,Debit Card,1
89,238,215,2024-06-18,64.8,Direct Debit,0
90,227,12,2024-01-06,152.89,Debit Card,0
91,188,96,2025-05-20,271.03,Bank Transfer,0
92,108,210,2024-04-30,117.16,Mobile Payment,1
93,100,127,2024-05-25,86.4,Credit Card,1
94,135,114,2024-09-17,286.22,Direct Debit,1
95,249,193,2024-07-20,84.89,Direct Debit,0
96,180,54,2025-01-30,211.59,Debit Card,1
97,176,98,2025-10-13,182.41,Direct Debit,1
98,87,69,2024-03-05,327.91,Debit Card,0
99,277,83,2025-01-21,238.19,Debit Card,1
100,194,167,2024-06-10,60.24,Debit Card,0
101,238,69,2025-02-17,43.31,Direct Debit,1
102,276,51,2024-09-01,246.96,Credit Card,0
103,217,182,2025-12-07,127.86,Mobile Payment,0
104,34,158,2025-11-25,144.21,Direct Debit,1
105,258,20,2024-02-14,293.53,Direct Debit,0
106,73,47,2025-06-18,41.17,Debit Card,1
107,196,194,2024-07-10,92.16,Direct Debit,0
108,39,153,2025-06-10,3.37,Mobile Payment,1
109,245,203,2024-04-13,276.76,Direct Debit,1
110,261,13,2025-02-06,49.73,Credit Card,0
111,170,186,2025-08-23,14.66,Direct Debit,0
112,85,83,2025-06-23,74.17,Credit Card,1
113,120,23,2025-06-27,132.11,Debit Card,1
114,211,6,2025-11-06,44.09,Direct Debit,0
115,181,216,2024-07-08,214.35,Direct Debit,1
116,205,18,2025-11-16,193.94,Mobile Payment,0
117,290,7,2024-02-07,237.63,Bank Transfer,1
118,166,83,2025-11-11,285.05,Mobile Payment,0
119,234,190,2025-07-26,278.48,Bank Transfer,0
120,229,8,2024-11-16,341.76,Direct Debit,1
121,17,93,2025-08-04,229.38,Bank Transfer,0
122,115,188,2025-10-11,96.22,Bank Transfer,0
123,30,186,2024-10-15,15.43,Direct Debit,1
124,260,145,2024-05-07,259.61,Direct Debit,1
125,107,214,2025-06-03,74.31,Bank Transfer,0
126,215,134,2024-05-11,50.3,Bank Transfer,1
127,265,214,2024-01-23,96.61,Bank Transfer,1
128,225,202,2024-01-23,335.52,Direct Debit,1
129,79,71,2024-04-25,317.31,Debit Card,1
130,234,21,2024-10-17,38.19,Mobile Payment,1
131,53,102,2025-07-19,307.7,Debit Card,0
132,39,30,2025-09-15,31.21,Credit Card,0
133,29,220,2025-11-07,36.32,Direct Debit,1
134,274,174,2025-12-21,131.84,Debit Card,1
135,205,223,2025-04-23,281.37,Bank Transfer,1
136,151,34,2025-12-11,208.38,Mobile Payment,0
137,259,122,2024-08-03,174.95,Credit Card,1
138,249,162,2024-03-07,41.21,Credit Card,0
139,258,81,2024-12-27,333.79,Bank Transfer,0
140,105,89,2025-02-16,59.34,Debit Card,1
141,300,194,2025-08-16,253.56,Direct Debit,1
142,293,131,2024-07-02,200.2,Debit Card,1
143,117,151,2025-04-25,164.13,Direct Debit,1
144,148,49,2024-07-24,120.3,Credit Card,1
145,96,221,2024-06-14,153.5,Bank Transfer,0
146,259,86,2025-08-05,214.54,Direct Debit,0
147,191,229,2025-06-02,101.8,Mobile Payment,1
148,96,2,2025-12-30,121.24,Bank Transfer,0
149,91,22,2024-01-26,23.08,Debit Card,0
150,31,16,2025-01-09,226.0,Bank Transfer,0
151,288,91,2025-05-16,307.54,Direct Debit,1
152,158,198,2024-10-26,181.47,Bank Transfer,0
153,72,130,2025-12-18,105.43,Bank Transfer,1
154,49,129,2024-09-27,224.57,Mobile Payment,0
155,299,205,2024-09-28,227.68,Debit Card,1
156,98,237,2024-02-04,87.35,Direct Debit,0
157,222,9,2025-01-16,297.91,Mobile Payment,0
158,118,181,2025-12-24,117.96,Credit Card,0
159,34,95,2025-08-20,22.19,Debit Card,0
160,38,249,2025-05-05,137.96,Debit Card,1
161,52,187,2024-04-16,262.88,Credit Card,0
162,266,71,2025-08-04,200.61,Mobile Payment,1
163,283,218,2025-07-26,220.31,Mobile Payment,1
164,23,31,2024-07-12,184.3,Bank Transfer,1
165,66,217,2025-05-24,274.81,Mobile Payment,0
166,179,192,2024-05-29,51.01,Credit Card,0
167,107,129,2025-01-04,246.94,Mobile Payment,1
168,126,36,2025-01-23,179.2,Mobile Payment,1
169,143,32,2024-09-25,290.54,Debit Card,1
170,231,77,2025-09-22,91.91,Mobile Payment,1
171,159,120,2025-05-22,329.34,Credit Card,0
172,227,15,2024-04-11,57.8,Direct Debit,0
173,80,60,2025-03-01,106.17,Debit Card,0
174,8,176,2025-09-06,108.99,Mobile Payment,0
175,286,43,2025-08-10,319.24,Mobile Payment,0
176,231,71,2025-02-18,167.7,Mobile Payment,0
177,295,204,2024-09-10,163.87,Debit Card,0
178,148,89,2024-01-19,342.78,Bank Transfer,1
179,11,124,2024-02-04,109.11,Bank Transfer,1
180,300,79,2025-12-18,44.24,Direct Debit,1
181,233,37,2025-10-19,219.79,Direct Debit,1
182,58,222,2024-09-09,3.78,Mobile Payment,1
183,169,224,2024-04-07,270.03,Credit Card,0
184,260,110,2024-11-04,86.33,Debit Card,0
185,96,167,2024-08-02,162.09,Bank Transfer,0
186,247,31,2024-08-08,156.21,Direct Debit,0
187,74,55,2024-04-10,4.79,Bank Transfer,0
188,45,165,2024-07-12,137.56,Debit Card,1
189,166,71,2025-01-05,263.74,Mobile Payment,0
190,37,10,2025-05-16,287.98,Direct Debit,0
191,98,204,2025-12-14,288.08,Debit Card,0
192,298,122,2024-10-06,292.3,Bank Transfer,1
193,40,153,2024-01-08,25.19,Debit Card,1
194,125,16,2025-07-10,306.75,Mobile Payment,0
195,296,195,2024-03-07,137.65,Bank Transfer,0
196,299,2,2025-12-24,48.68,Debit Card,0
197,123,153,2024-03-22,111.77,Bank Transfer,0
198,136,183,2025-08-07,94.15,Direct Debit,1
199,252,107,2024-08-11,86.57,Credit Card,1
200,43,187,2024-05-29,73.71,Bank Transfer,0
201,185,80,2024-07-14,129.07,Debit Card,0
202,79,237,2024-06-12,28.65,Direct Debit,0
203,142,104,2025-04-03,324.93,Mobile Payment,0
204,124,46,2025-03-01,90.85,Mobile Payment,1
205,189,28,2024-09-21,134.07,Mobile Payment,0
206,51,135,2025-10-25,303.85,Credit Card,1
207,142,201,2024-07-16,232.0,Mobile Payment,0
208,189,92,2024-02-05,322.09,Bank Transfer,0
209,229,158,2024-06-19,342.21,Bank Transfer,1
210,73,247,2025-01-30,293.55,Bank Transfer,0
211,125,109,2024-11-12,284.77,Mobile Payment,1
212,177,26,2025-05-31,111.18,Bank Transfer,0
213,88,145,2024-01-16,167.22,Bank Transfer,0
214,265,6,2025-11-13,19.94,Direct Debit,1
215,60,129,2025-03-06,230.66,Bank Transfer,0
216,48,167,2025-12-19,334.56,Credit Card,0
217,179,188,2025-11-02,279.72,Debit Card,0
218,4,204,2024-10-18,216.61,Bank Transfer,1
219,156,109,2025-10-07,336.48,Mobile Payment,0
220,197,246,2025-03-25,114.66,Debit Card,0
221,107,57,2025-06-15,31.81,Credit Card,1
222,264,110,2025-02-21,227.58,Bank Transfer,1
223,7,113,2024-02-05,320.87,Debit Card,1
224,193,187,2025-08-18,120.64,Mobile Payment,1
225,137,175,2025-01-25,316.16,Bank Transfer,1
226,169,243,2025-12-11,319.71,Debit Card,0
227,232,189,2025-12-05,314.19,Mobile Payment,1
228,270,145,2025-06-06,36.2,Debit Card,0
229,182,154,2025-11-18,190.88,Direct Debit,0
230,291,30,2024-09-20,11.34,Credit Card,1
231,109,238,2024-05-10,181.77,Debit Card,0
232,218,154,2024-06-18,293.91,Mobile Payment,1
233,44,165,2025-12-06,120.19,Direct Debit,0
234,86,126,2025-07-14,63.41,Credit Card,0
235,43,54,2025-04-06,293.31,Bank Transfer,1
236,46,109,2025-10-12,153.7,Direct Debit,1
237,131,226,2025-05-02,265.8,Debit Card,0
238,259,76,2025-04-22,252.01,Direct Debit,1
239,154,84,2024-01-04,41.64,Debit Card,1
240,157,234,2025-05-27,218.66,Credit Card,1
241,159,177,2024-08-01,292.58,Debit Card,1
242,69,68,2024-03-05,319.64,Debit Card,0
243,58,100,2024-11-14,281.26,Credit Card,1
244,98,186,2025-04-25,128.13,Direct Debit,1
245,298,110,2025-01-31,88.76,Mobile Payment,1
246,123,224,2024-05-10,156.4,Credit Card,0
247,277,207,2024-05-21,201.52,Credit Card,1
248,1,54,2024-07-24,105.91,Debit Card,1
249,65,161,2024-03-31,116.73,Bank Transfer,1
250,160,101,2025-06-19,48.56,Mobile Payment,0
251,248,120,2024-09-26,226.59,Credit Card,1
252,128,48,2025-07-04,315.92,Mobile Payment,0
253,64,240,2025-07-24,173.42,Mobile Payment,1
254,271,166,2025-08-08,245.32,Credit Card,1
255,293,9,2025-12-01,347.16,Debit Card,0
256,42,193,2025-11-24,311.32,Bank Transfer,0
257,185,63,2025-04-24,89.27,Debit Card,0
258,79,156,2025-04-17,243.4,Direct Debit,0
259,236,28,2024-07-12,285.3,Credit Card,0
260,95,61,2024-04-27,273.9,Direct Debit,1
261,22,20,2024-11-15,243.65,Debit Card,0
262,220,163,2024-04-07,92.13,Mobile Payment,0
263,8,119,2025-11-17,133.07,Bank Transfer,1
264,76,213,2025-08-26,306.55,Direct Debit,1
265,174,12,2024-05-14,63.53,Debit Card,0
266,178,3,2025-06-02,201.5,Credit Card,1
267,226,224,2025-09-26,182.56,Mobile Payment,0
268,261,98,2025-12-16,309.73,Bank Transfer,1
269,89,133,2025-06-17,180.0,Mobile Payment,0
270,75,62,2025-02-27,300.8,Debit Card,1
271,153,136,2024-10-18,159.27,Mobile Payment,0
272,54,234,2024-01-17,90.43,Credit Card,1
273,70,87,2025-03-06,320.31,Direct Debit,1
274,249,117,2024-09-27,220.07,Mobile Payment,1
275,283,150,2024-06-15,240.45,Mobile Payment,1
276,45,59,2024-11-17,147.76,Mobile Payment,1
277,206,42,2025-03-09,87.31,Debit Card,1
278,26,162,2024-02-25,161.08,Direct Debit,0
279,218,116,2024-12-25,20.75,Direct Debit,1
280,217,66,2025-04-16,245.86,Direct Debit,1
281,152,15,2024-02-20,182.11,Debit Card,1
282,278,158,2024-06-14,346.45,Bank Transfer,1
283,146,123,2025-12-14,75.71,Debit Card,0
284,30,83,2025-07-07,310.63,Mobile Payment,0
285,260,246,2024-04-03,172.05,Debit Card,1
286,75,9,2025-05-08,165.77,Mobile Payment,1
287,5,127,2024-02-05,274.09,Mobile Payment,1
288,231,204,2025-09-02,34.77,Bank Transfer,1
289,39,8,2024-01-28,66.78,Mobile Payment,0
290,11,91,2024-01-12,313.61,Debit Card,0
291,103,90,2025-07-03,97.92,Debit Card,1
292,271,233,2025-04-30,57.32,Mobile Payment,0
293,122,146,2025-01-28,146.42,Bank Transfer,1
294,147,233,2024-06-26,155.47,Direct Debit,1
295,89,155,2024-08-12,35.94,Credit Card,0
296,130,248,2024-03-15,237.26,Bank Transfer,0
297,172,85,2025-02-05,269.65,Credit Card,0
298,19,157,2025-05-05,208.88,Mobile Payment,0
299,21,145,2024-10-24,48.49,Direct Debit,0
300,269,164,2025-09-16,88.64,Mobile Payment,1
301,39,234,2024-05-21,334.01,Mobile Payment,1
302,119,249,2024-12-28,49.8,Debit Card,1
303,157,206,2024-07-25,56.5,Bank Transfer,1
304,9,198,2025-10-08,331.4,Credit Card,1
305,178,198,2025-02-13,348.53,Mobile Payment,0
306,246,77,2024-03-15,60.48,Debit Card,1
307,103,73,2024-07-23,163.24,Mobile Payment,1
308,275,95,2024-02-20,96.6,Mobile Payment,0
309,240,169,2025-07-04,101.76,Credit Card,1
310,105,19,2024-01-25,144.73,Direct Debit,1
311,72,43,2025-02-22,223.71,Bank Transfer,1
312,283,113,2024-07-18,157.27,Credit Card,1
313,45,1,2025-03-30,200.56,Direct Debit,0
314,148,125,2024-06-28,82.37,Credit Card,0
315,251,152,2024-12-25,3.96,Bank Transfer,1
316,246,180,2025-10-26,160.65,Debit Card,1
317,180,72,2025-12-17,168.54,Direct Debit,0
318,62,6,2024-03-11,206.62,Credit Card,1
319,39,168,2024-01-22,117.42,Credit Card,0
320,89,189,2024-02-04,55.6,Mobile Payment,1
321,131,154,2025-05-28,207.26,Mobile Payment,0
322,53,163,2025-07-01,283.94,Debit Card,1
323,5,101,2024-09-27,38.42,Direct Debit,0
324,289,190,2025-10-10,288.59,Bank Transfer,1
325,291,21,2024-07-02,304.67,Debit Card,1
326,135,141,2025-07-06,258.55,Debit Card,0
327,138,46,2024-01-02,84.95,Direct Debit,1
328,234,65,2025-02-27,336.93,Bank Transfer,1
329,53,191,2025-04-07,81.41,Debit Card,0
330,254,247,2025-02-07,33.01,Debit Card,0
331,139,18,2024-11-20,98.62,Bank Transfer,1
332,51,171,2024-03-17,321.51,Debit Card,0
333,255,143,2025-01-28,23.32,Mobile Payment,1
334,157,8,2024-10-09,47.7,Credit Card,1
335,154,93,2024-02-18,13.98,Direct Debit,0
336,270,27,2025-02-15,102.19,Mobile Payment,0
337,39,4,2025-01-19,309.41,Bank Transfer,0
338,263,104,2025-09-20,216.63,Mobile Payment,0
339,242,103,2024-06-29,83.38,Bank Transfer,0
340,189,146,2024-06-20,331.27,Direct Debit,1
341,41,132,2024-03-03,82.68,Mobile Payment,0
342,189,134,2025-03-28,219.81,Credit Card,1
343,223,2,2025-10-05,77.95,Credit Card,0
344,279,20,2024-06-21,43.64,Debit Card,0
345,11,246,2024-05-08,251.33,Bank Transfer,1
346,218,136,2024-07-16,83.26,Mobile Payment,1
347,168,165,2025-08-09,293.06,Credit Card,0
348,137,196,2024-05-28,125.53,Mobile Payment,1
349,217,54,2025-09-21,227.96,Mobile Payment,1
350,271,194,2024-10-13,151.16,Credit Card,0
351,118,64,2025-07-17,306.64,Mobile Payment,1
352,135,198,2025-12-02,126.68,Credit Card,1
353,143,139,2024-10-26,129.6,Bank Transfer,1
354,185,8,2025-06-26,168.21,Credit Card,1
355,286,165,2024-02-22,211.0,Direct Debit,1
356,272,212,2025-03-25,77.71,Credit Card,1
357,182,227,2025-11-21,248.24,Mobile Payment,0
358,45,142,2024-04-12,340.81,Credit Card,1
359,131,236,2025-03-23,107.36,Mobile Payment,0
360,119,200,2025-12-13,218.71,Direct Debit,1
361,119,172,2024-07-29,50.18,Credit Card,1
362,140,137,2024-01-31,269.8,Direct Debit,1
363,130,215,2025-09-07,297.2,Direct Debit,0
364,116,176,2025-08-20,265.16,Mobile Payment,0
365,120,77,2025-10-26,78.12,Bank Transfer,0
366,9,97,2025-12-20,168.18,Mobile Payment,1
367,65,210,2025-10-03,220.55,Direct Debit,0
368,148,218,2025-11-07,104.91,Mobile Payment,1
369,65,11,2024-10-03,38.29,Bank Transfer,0
370,19,23,2025-09-18,155.9,Debit Card,1
371,131,71,2024-08-12,316.5,Credit Card,1
372,125,32,2024-09-01,190.19,Direct Debit,1
373,101,74,2024-12-26,314.11,Bank Transfer,1
374,74,112,2024-03-29,161.65,Bank Transfer,0
375,120,13,2024-07-24,208.67,Direct Debit,0
376,40,184,2025-02-13,341.87,Bank Transfer,1
377,88,219,2024-12-04,180.73,Mobile Payment,1
378,126,249,2024-09-01,17.19,Direct Debit,0
379,242,219,2025-10-25,189.83,Mobile Payment,1
380,245,133,2025-12-08,104.33,Direct Debit,0
381,284,1,2024-10-10,210.58,Debit Card,0
382,44,207,2025-03-17,55.17,Bank Transfer,1
383,28,216,2024-03-08,188.45,Credit Card,0
384,187,10,2025-11-12,235.68,Bank Transfer,0
385,134,54,2025-02-06,79.75,Bank Transfer,0
386,90,43,2025-10-09,85.77,Debit Card,1
387,178,146,2024-07-30,337.14,Direct Debit,1
388,248,250,2024-05-09,214.09,Direct Debit,0
389,184,205,2024-09-04,198.43,Credit Card,1
390,78,86,2025-09-03,233.71,Direct Debit,0
391,237,113,2024-03-13,31.4,Credit Card,1
392,26,12,2025-05-18,247.32,Credit Card,0
393,5,29,2024-11-22,39.55,Direct Debit,0
394,277,13,2024-04-07,18.24,Credit Card,0
395,265,119,2024-12-06,232.87,Mobile Payment,0
396,265,193,2024-05-18,104.93,Debit Card,0
397,115,56,2025-08-31,109.63,Mobile Payment,0
398,16,41,2024-10-09,20.06,Direct Debit,0
399,101,205,2024-05-26,71.4,Direct Debit,0
400,84,58,2025-06-02,138.36,Mobile Payment,0
401,152,182,2025-12-19,192.6,Bank Transfer,1
402,72,32,2025-02-01,258.67,Bank Transfer,1
403,106,111,2024-01-29,210.39,Bank Transfer,0
404,49,250,2024-11-19,159.79,Bank Transfer,0
405,25,21,2025-05-14,209.77,Direct Debit,1
406,220,246,2024-06-17,175.54,Mobile Payment,1
407,194,10,2024-03-07,202.29,Mobile Payment,1
408,169,201,2024-01-05,253.23,Credit Card,1
409,46,178,2025-10-18,155.7,Bank Transfer,1
410,233,246,2024-08-02,301.35,Debit Card,1
411,92,7,2024-11-21,348.54,Debit Card,1
412,29,16,2025-05-05,74.32,Mobile Payment,0
413,239,80,2025-02-24,13.84,Bank Transfer,0
414,148,134,2024-01-09,58.61,Credit Card,1
415,88,16,2025-11-23,4.62,Direct Debit,0
416,68,162,2024-09-29,290.89,Credit Card,1
417,189,198,2025-04-12,217.74,Mobile Payment,1
418,255,44,2025-05-20,330.84,Debit Card,0
419,119,20,2024-09-08,241.15,Bank Transfer,1
420,237,25,2024-07-24,235.96,Bank Transfer,0
421,78,6,2024-09-22,302.39,Direct Debit,0
422,269,19,2025-10-25,58.49,Credit Card,1
423,41,176,2025-05-05,289.71,Credit Card,1
424,80,243,2024-11-28,337.55,Debit Card,1
425,123,99,2024-12-15,234.93,Bank Transfer,0
426,97,200,2025-09-17,11.68,Debit Card,0
427,124,95,2024-08-08,294.26,Credit Card,1
428,130,208,2025-11-11,209.4,Credit Card,0
429,191,178,2024-06-30,254.68,Bank Transfer,1
430,75,152,2025-08-02,145.97,Direct Debit,0
431,47,62,2025-10-28,63.02,Debit Card,1
432,96,15,2024-02-16,144.67,Bank Transfer,0
433,52,134,2024-04-16,34.75,Bank Transfer,0
434,40,188,2024-11-24,113.42,Mobile Payment,0
435,170,243,2024-07-23,84.19,Bank Transfer,1
436,155,179,2024-03-08,315.65,Direct Debit,0
437,209,147,2024-02-25,77.34,Mobile Payment,0
438,14,158,2024-08-18,202.61,Debit Card,1
439,193,29,2025-06-19,56.79,Direct Debit,0
440,100,76,2024-05-25,127.82,Credit Card,1
441,209,133,2024-11-21,26.16,Debit Card,0
442,108,209,2024-05-01,217.42,Bank Transfer,1
443,214,76,2024-01-19,30.38,Bank Transfer,0
444,5,125,2024-10-17,196.49,Mobile Payment,1
445,131,36,2025-07-01,141.93,Mobile Payment,1
446,267,87,2025-02-28,348.39,Debit Card,0
447,236,104,2024-11-29,223.24,Mobile Payment,0
448,270,247,2024-07-04,105.34,Direct Debit,0
449,288,163,2024-09-29,231.86,Mobile Payment,0
450,18,189,2024-01-22,339.45,Direct Debit,1
451,114,18,2024-02-12,249.79,Credit Card,0
452,281,138,2025-04-22,108.55,Direct Debit,0
453,272,39,2025-03-06,309.29,Bank Transfer,1
454,246,94,2025-05-01,297.28,Mobile Payment,0
455,294,56,2024-12-24,32.95,Mobile Payment,1
456,226,166,2025-07-02,125.38,Credit Card,0
457,39,66,2024-11-02,137.48,Direct Debit,1
458,207,62,2025-09-26,100.97,Bank Transfer,1
459,170,63,2025-12-02,116.55,Credit Card,1
460,127,207,2025-11-04,267.06,Debit Card,1
461,62,190,2024-04-27,223.74,Direct Debit,0
462,59,188,2024-02-15,214.84,Bank Transfer,0
463,203,70,2024-02-10,256.67,Mobile Payment,0
464,40,187,2024-07-01,251.02,Direct Debit,0
465,188,148,2024-08-15,322.21,Bank Transfer,0
466,181,138,2025-10-03,87.9,Debit Card,1
467,146,106,2024-02-11,317.0,Mobile Payment,0
468,229,98,2025-07-16,290.11,Credit Card,1
469,260,99,2025-10-18,23.12,Direct Debit,0
470,180,8,2024-11-02,197.23,Bank Transfer,1
471,193,5,2025-03-03,330.69,Mobile Payment,1
472,216,242,2024-03-03,246.92,Mobile Payment,0
473,145,13,2024-11-25,137.48,Credit Card,1
474,258,197,2025-07-23,84.07,Debit Card,0
475,132,181,2025-08-19,68.88,Bank Transfer,1
476,244,177,2025-09-13,238.25,Debit Card,1
477,43,242,2025-12-03,344.23,Bank Transfer,0
478,101,242,2024-09-21,93.85,Debit Card,0
479,5,21,2024-07-20,253.74,Debit Card,1
480,277,217,2025-10-30,31.15,Credit Card,1
481,55,95,2025-06-28,39.61,Debit Card,1
482,59,140,2025-02-08,228.27,Direct Debit,1
483,192,110,2024-10-29,82.98,Debit Card,0
484,155,203,2025-03-31,103.88,Direct Debit,1
485,15,162,2024-04-20,87.82,Bank Transfer,0
486,72,58,2024-12-06,125.01,Direct Debit,0
487,268,79,2024-05-02,263.75,Bank Transfer,0
488,70,134,2025-11-17,181.57,Bank Transfer,0
489,131,174,2025-01-15,345.64,Mobile Payment,0
490,119,172,2025-10-26,224.36,Mobile Payment,1
491,140,177,2024-08-06,251.57,Direct Debit,0
492,41,212,2024-04-20,230.06,Direct Debit,0
493,292,152,2025-05-05,102.71,Mobile Payment,1
494,28,49,2024-08-15,178.87,Debit Card,0
495,267,116,2025-04-02,121.39,Direct Debit,0
496,127,9,2025-10-24,125.57,Credit Card,0
497,77,213,2024-06-19,22.85,Mobile Payment,1
498,247,189,2024-06-05,152.59,Direct Debit,0
499,67,60,2025-10-14,166.91,Credit Card,0
500,195,132,2024-05-27,53.22,Debit Card,0
501,151,249,2024-08-31,24.48,Debit Card,0
502,296,83,2025-12-08,98.91,Debit Card,1
503,124,44,2025-07-05,19.43,Credit Card,1
504,103,189,2024-01-29,137.85,Bank Transfer,1
505,205,5,2025-11-26,92.99,Credit Card,1
506,243,217,2025-03-30,91.34,Debit Card,1
507,179,116,2025-06-11,70.68,Credit Card,0
508,100,71,2025-10-16,180.33,Credit Card,0
509,202,66,2025-11-21,149.88,Mobile Payment,0
510,69,34,2025-04-21,299.14,Bank Transfer,1
511,128,36,2024-05-11,74.56,Mobile Payment,1
512,75,122,2025-07-08,125.25,Direct Debit,0
513,111,113,2024-08-13,145.01,Mobile Payment,1
514,72,214,2025-11-07,190.52,Direct Debit,0
515,56,134,2025-06-11,22.11,Credit Card,1
516,187,193,2024-04-10,176.88,Mobile Payment,0
517,206,77,2025-11-06,13.19,Debit Card,1
518,286,226,2025-07-04,200.59,Credit Card,1
519,201,35,2024-12-13,337.46,Bank Transfer,1
520,112,202,2025-06-06,42.31,Credit Card,1
521,40,27,2024-05-03,80.28,Debit Card,1
522,91,206,2025-01-30,312.44,Debit Card,1
523,244,116,2024-04-08,311.51,Direct Debit,1
524,297,179,2024-08-16,99.41,Mobile Payment,1
525,54,98,2024-05-26,92.43,Mobile Payment,1
526,228,223,2024-01-29,280.24,Debit Card,0
527,113,220,2024-05-30,110.61,Mobile Payment,0
528,87,197,2025-10-24,158.07,Mobile Payment,1
529,219,103,2024-08-13,72.5,Debit Card,0
530,139,107,2025-08-07,247.17,Bank Transfer,1
531,249,82,2024-08-20,214.0,Direct Debit,1
532,77,233,2025-04-09,57.75,Bank Transfer,0
533,145,143,2025-04-17,325.59,Bank Transfer,1
534,51,148,2024-04-13,264.35,Bank Transfer,0
