location_id,city_name,country,region
117,Qoraozak,Uzbekistan,North
118,Yantian,China,East
119,Jeleuk,Indonesia,Central
120,Xujia,China,East
121,Luso,Portugal,Central
122,Pa Bon,Thailand,East
123,Kombapari,Indonesia,Central
124,Roissy Charles-de-Gaulle,France,North
125,Eg-Uur,Mongolia,West
126,Al Munirah,Yemen,East
127,Puncaksempur,Indonesia,South
128,Samparna,Indonesia,East
129,Dostoyevka,Russia,Central
130,Pittsburgh,United States,West
131,Hoorn,Netherlands,South
132,Krajan,Indonesia,Central
133,Luna,Philippines,Central
134,Koln,Germany,Central
135,Caoping,China,Central
136,Apiai,Brazil,West
137,Huochang,China,East
138,Kyzyl-Oktyabrskiy,Russia,West
139,Muang Xay,Laos,East
140,Morcolla,Peru,North
141,Miguel Hidalgo,Mexico,North
142,Linares,Colombia,East
143,Valenca,Brazil,South
144,Stirion,Greece,Central
145,Qujing,China,West
146,Reims,France,North
147,Palamadu,Indonesia,South
148,Tanahgrogot,Indonesia,Central
149,Houston,United States,South
150,Delta del Tigre,Uruguay,East
151,Koo,Poland,East
152,Woro,Indonesia,East
153,Jaboticabal,Brazil,North
154,Peyima,Sierra Leone,West
155,Cai Doi Vam,Vietnam,East
156,Klinan,Philippines,North
157,Santa Quiteria,Brazil,West
158,Cotorra,Colombia,East
159,Ogaki,Japan,West
160,Wanfu,China,West
161,Berlin,Germany,North
162,Gonayiv,Haiti,Central
163,Tangtuzhui,China,North
164,Kebonagung,Indonesia,East
165,Otutara,French Polynesia,West
166,Klenci pod Cerchovem,Czech Republic,East
167,Oster,Russia,Central
168,Shalushka,Russia,North
169,Chambellan,Haiti,West
170,Temorlorong,Indonesia,Central
171,Boulsa,Burkina Faso,Central
172,Luis Donaldo Colosio,Mexico,West
173,Curepipe,Mauritius,South
174,Carhuamayo,Peru,North
175,Zheleznogorsk,Russia,West
176,Beizhang,China,South
177,Vale da Bajouca,Portugal,North
178,Uspenka,Ukraine,Central
179,Xiaomian,China,East
180,Quimper,France,North
181,Changshan,China,South
182,Tulchyn,Ukraine,West
183,Rudna Maa,Poland,West
184,Esteio,Brazil,West
185,La Esperanza,Colombia,North
186,El Maranon,Honduras,East
187,Lughaye,Somalia,North
188,Buenavista,Mexico,North
189,San Jeronimo,Peru,East
190,Nova Era,Brazil,North
191,Kanash,Russia,North
192,Igbeti,Nigeria,West
193,Sarangmeduro,Indonesia,North
194,Nanterre,France,South
195,Ila Orangun,Nigeria,South
196,Shixi,China,Central
197,Aligudarz,Iran,East
198,Sitrah,Bahrain,West
199,Xam Nua,Laos,East
200,Xiayang,China,Central
201,Renfengzhuang,China,Central
202,Ampatuan,Philippines,Central
203,Bieqiao,China,North
204,Shuanggang,China,East
205,Cempa,Indonesia,East
206,Pesqueira,Brazil,West
207,Igreja,Portugal,East
208,Ponta Pora,Brazil,South
209,Sao Domingos do Maranhao,Brazil,North
210,Al Mughayyir,Palestinian Territory,West
211,Dalubian,China,North
212,Santo Aleixo,Portugal,Central
213,Nea Vrasna,Greece,North
214,Talospatang,Philippines,Central
215,Goteborg,Sweden,South
216,Vastra Frolunda,Sweden,North
217,Sanqu,China,West
218,Jiangyou,China,South
219,Aix-en-Provence,France,Central
220,Bene Beraq,Israel,West
221,Rennes,France,East
222,Dahuaishu,China,Central
223,Borgholm,Sweden,Central
224,Horni Pocaply,Czech Republic,West
225,Guanlu,China,North
226,New York City,United States,East
227,Amboasary,Madagascar,West
228,Leticia,Colombia,West
229,Alto Barinas,Venezuela,South
230,Atok,Philippines,West
231,Amarete,Bolivia,Central
232,Balesari,Indonesia,East
233,Kimolos,Greece,Central
234,Suozhen,China,West
235,Udanin,Poland,East
236,Machado,Brazil,North
237,Dean,United Kingdom,North
238,Labuhan Deli,Indonesia,East
239,Pirojpur,Bangladesh,Central
240,Budapest,Hungary,North
241,Nanzamu,China,South
242,San Antonio,Philippines,West
243,Phitsanulok,Thailand,East
244,Frei,Norway,South
245,Cincinnati,United States,South
246,Ciawitali,Indonesia,Central
247,Paris 20,France,East
248,Tianhe,China,Central
249,Dollard-Des Ormeaux,Canada,East
250,Sabanagrande,Colombia,South
