account_id,user_id,bank_id,account_type,currency,opened_date,account_status
218,141,107,Checking,USD,2025-10-18,Closed
219,132,201,Digital Wallet,EUR,2022-08-18,Frozen
220,213,129,Investment,USD,2023-05-28,Closed
221,206,103,Digital Wallet,EUR,2022-04-22,Frozen
222,44,35,Digital Wallet,GBP,2021-05-23,Closed
223,154,147,Credit Card,USD,2024-09-28,Active
224,56,54,Digital Wallet,GBP,2023-07-12,Frozen
225,197,26,Checking,EUR,2023-05-02,Closed
226,65,52,Digital Wallet,EUR,2024-09-23,Closed
227,108,110,Digital Wallet,USD,2023-06-06,Frozen
228,93,36,Checking,GBP,2022-10-04,Closed
229,4,234,Investment,USD,2024-10-24,Closed
230,156,108,Investment,USD,2022-09-30,Active
231,151,79,Savings,USD,2025-04-16,Active
232,61,34,Credit Card,EUR,2025-11-27,Active
233,121,154,Digital Wallet,USD,2021-06-25,Closed
234,100,220,Savings,USD,2025-08-04,Closed
235,137,20,Investment,USD,2024-12-23,Frozen
236,103,87,Investment,USD,2024-01-06,Closed
237,3,188,Investment,EUR,2025-09-23,Active
238,159,89,Savings,USD,2025-01-29,Active
239,54,107,Investment,EUR,2023-05-01,Frozen
240,131,1,Credit Card,EUR,2022-06-30,Active
241,154,143,Digital Wallet,EUR,2024-09-14,Frozen
242,143,8,Checking,EUR,2025-10-22,Closed
243,92,27,Credit Card,GBP,2021-10-10,Frozen
244,78,243,Investment,GBP,2025-06-05,Closed
245,43,49,Investment,GBP,2023-12-12,Active
246,62,92,Checking,USD,2023-07-27,Frozen
247,131,44,Credit Card,USD,2023-11-29,Active
248,56,109,Credit Card,EUR,2021-11-27,Active
249,153,69,Investment,GBP,2022-05-11,Closed
250,16,101,Checking,EUR,2022-12-29,Frozen
251,71,51,Investment,GBP,2023-01-20,Frozen
252,248,114,Investment,GBP,2023-02-22,Closed
253,25,144,Digital Wallet,GBP,2023-01-05,Active
254,173,209,Credit Card,EUR,2025-07-14,Active
255,32,26,Investment,USD,2025-02-06,Closed
256,245,208,Digital Wallet,EUR,2025-04-15,Closed
257,79,62,Savings,USD,2021-09-08,Frozen
258,27,51,Credit Card,GBP,2024-03-25,Frozen
259,90,64,Credit Card,GBP,2025-05-09,Closed
260,32,196,Credit Card,GBP,2023-11-25,Active
261,139,69,Credit Card,USD,2024-06-24,Closed
262,122,182,Investment,USD,2025-07-17,Frozen
263,21,26,Digital Wallet,USD,2021-08-13,Closed
264,191,17,Credit Card,EUR,2021-01-29,Closed
265,27,46,Savings,USD,2024-09-23,Active
266,1,43,Checking,USD,2021-11-08,Active
267,73,142,Investment,USD,2023-08-19,Closed
268,111,57,Credit Card,GBP,2024-10-17,Active
269,132,80,Credit Card,USD,2025-08-02,Closed
270,232,243,Savings,USD,2023-06-01,Closed
271,207,11,Digital Wallet,EUR,2023-12-16,Closed
272,129,156,Digital Wallet,GBP,2022-07-03,Frozen
273,115,189,Savings,GBP,2023-07-13,Active
274,75,75,Checking,USD,2021-08-30,Closed
275,213,84,Investment,USD,2021-02-20,Frozen
276,173,95,Digital Wallet,GBP,2021-08-22,Closed
277,196,43,Investment,USD,2025-04-20,Active
278,186,173,Savings,GBP,2024-01-06,Active
279,70,10,Digital Wallet,GBP,2025-07-21,Frozen
280,140,70,Savings,GBP,2024-03-24,Active
281,206,235,Savings,USD,2021-04-27,Frozen
282,61,36,Digital Wallet,EUR,2025-06-15,Frozen
283,127,210,Investment,EUR,2025-09-19,Active
284,13,204,Investment,EUR,2024-07-14,Active
285,163,186,Savings,EUR,2024-08-04,Closed
286,191,164,Savings,EUR,2021-07-16,Closed
287,115,128,Savings,EUR,2025-10-03,Frozen
288,126,74,Digital Wallet,USD,2022-10-20,Frozen
289,115,142,Investment,GBP,2021-08-20,Frozen
290,224,146,Savings,USD,2024-08-08,Active
291,61,99,Digital Wallet,GBP,2021-01-21,Frozen
292,82,195,Savings,EUR,2025-01-20,Frozen
293,19,82,Checking,EUR,2022-11-19,Closed
294,205,117,Investment,EUR,2025-07-10,Frozen
295,167,179,Savings,GBP,2025-08-03,Active
296,172,240,Savings,GBP,2025-07-28,Frozen
297,179,150,Checking,GBP,2023-05-07,Closed
298,61,72,Savings,GBP,2021-02-16,Closed
299,250,85,Savings,USD,2023-03-09,Active
300,203,102,Savings,GBP,2024-10-09,Frozen
